,FIPS,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,2010 Housing Units,2010 Median Gross Rent,2010 Percent Transit,2018 Housing Units,2018 Median Gross Rent,2018 Percent Transit,Change Housing Units,Change Median Rent,Change Percent Transit
137,06037540902,"Census Tract 5409.02, Willowbrook CDP, Compton CCD, Los Angeles County, California","Census Tract 5409.02, Willowbrook CDP, Compton CCD, Los Angeles County, California",06,037,540902,1467,1008.0,6.37,1498,1142.0,4.08,0.021131561008861623,0.13293650793650794,-2.29
138,06037541400,"Census Tract 5414, Willowbrook CDP, Compton CCD, Los Angeles County, California","Census Tract 5414, Willowbrook CDP, Compton CCD, Los Angeles County, California",06,037,541400,1616,1103.0,4.95,1718,1342.0,1.29,0.06311881188118812,0.21668177697189483,-3.66
139,06037541500,"Census Tract 5415, Willowbrook CDP, Compton CCD, Los Angeles County, California","Census Tract 5415, Willowbrook CDP, Compton CCD, Los Angeles County, California",06,037,541500,1300,1072.0,3.13,1380,1170.0,3.76,0.06153846153846154,0.0914179104477612,0.6299999999999999
141,06037536200,"Census Tract 5362 (part), South Gate city, South Gate-East Los Angeles CCD, Los Angeles County, California","Census Tract 5362 (part), South Gate city, South Gate-East Los Angeles CCD, Los Angeles County, California",06,037,536200,1927,1154.0,3.19,1996,1157.0,2.95,0.03580695381421899,0.0025996533795493936,-0.23999999999999977
142,06037540400,"Census Tract 5404, Remainder of Compton CCD, Compton CCD, Los Angeles County, California","Census Tract 5404, Remainder of Compton CCD, Compton CCD, Los Angeles County, California",06,037,540400,510,1151.0,15.56,517,1074.0,16.08,0.013725490196078431,-0.06689834926151172,0.5199999999999978
143,06037554801,"Census Tract 5548.01, Artesia city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5548.01, Artesia city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554801,807,1533.0,2.76,800,1559.0,1.15,-0.008674101610904586,0.016960208741030658,-1.6099999999999999
144,06037554802,"Census Tract 5548.02, Artesia city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5548.02, Artesia city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554802,1825,1367.0,1.37,1881,1645.0,1.61,0.030684931506849315,0.2033650329188003,0.24
145,06037554900,"Census Tract 5549, Artesia city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5549, Artesia city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554900,2076,1477.0,3.71,2172,1563.0,2.48,0.046242774566473986,0.05822613405551794,-1.23
146,06037553100,"Census Tract 5531, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5531, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,553100,2067,1539.0,4.08,2050,1743.0,4.6,-0.00822447992259313,0.13255360623781676,0.5199999999999996
147,06037553200,"Census Tract 5532, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5532, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,553200,2069,1439.0,3.73,2072,1278.0,0.73,0.0014499758337361043,-0.11188325225851285,-3.0
148,06037553300,"Census Tract 5533, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5533, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,553300,1070,653.0,0.0,1043,831.0,0.0,-0.025233644859813085,0.2725880551301684,0.0
149,06037554001,"Census Tract 5540.01, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5540.01, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554001,1264,1392.0,2.04,1219,1245.0,0.0,-0.03560126582278481,-0.10560344827586207,-2.04
150,06037554002,"Census Tract 5540.02, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5540.02, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554002,1863,1233.0,5.25,1874,1276.0,2.21,0.005904455179817499,0.034874290348742905,-3.04
151,06037554101,"Census Tract 5541.01, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5541.01, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554101,1185,1101.0,8.41,1135,1229.0,8.15,-0.04219409282700422,0.11625794732061762,-0.2599999999999998
152,06037554103,"Census Tract 5541.03, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5541.03, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554103,483,1328.0,0.0,478,1583.0,1.44,-0.010351966873706004,0.19201807228915663,1.44
153,06037554104,"Census Tract 5541.04, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5541.04, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554104,797,1462.0,0.0,809,1197.0,4.6,0.015056461731493099,-0.18125854993160054,4.6
154,06037554105,"Census Tract 5541.05, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5541.05, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554105,1672,1215.0,3.61,1624,1300.0,5.08,-0.028708133971291867,0.06995884773662552,1.4700000000000002
155,06037554201,"Census Tract 5542.01, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5542.01, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554201,1233,1376.0,1.68,1207,1659.0,1.04,-0.021086780210867802,0.2056686046511628,-0.6399999999999999
156,06037554203,"Census Tract 5542.03, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5542.03, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554203,1266,1158.0,2.59,1266,1079.0,3.67,0.0,-0.06822107081174439,1.08
157,06037554204,"Census Tract 5542.04, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5542.04, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554204,1771,1099.0,10.36,1792,1116.0,1.86,0.011857707509881422,0.015468607825295723,-8.5
