station_data,,,,,,,,,,,,,,,
,LINE,LINENUM,LINENUM2,STNSEQ,STNSEQ2,DIR,STOPNUM,STATION,DATE OPENED,LAT,LONG,TPIS_NAME,POINT_X,POINT_Y,geometry
39,Red,802,0,7,0,,80208,Vermont / Beverly Station,1999,34.076526,-118.291686,Beverly,6473337.19225,1850359.62524,POINT (-118.291686 34.076526)
40,Red/Purple,802,805,6,6,,80209,Wilshire / Vermont Station,1996,34.062701,-118.290082,Wil/Ver,6473808.40084,1845327.058,POINT (-118.290082 34.062701)
41,Red/Purple,802,805,5,5,,80210,Westlake / MacArthur Park Station,1993,34.056368,-118.274879,Westlake,6478406.67835,1843009.425,POINT (-118.274879 34.056368)
42,Red/Purple,802,805,4,4,,80211,7th St / Metro Center Station - Metro Red & Purple Lines,1993,34.048634,-118.258682,7MC,6483305.44446,1840181.85973,POINT (-118.258682 34.048634)
43,Red/Purple,802,805,3,3,,80212,Pershing Square Station,1993,34.049316,-118.251259,Persh Sq,6485554.67173,1840424.34827,POINT (-118.251259 34.049316)
44,Red/Purple,802,805,2,2,,80213,Civic Center / Grand Park Station,1993,34.0549,-118.246057,Civic Ctr,6487135.44567,1842452.57039,POINT (-118.246057 34.0549)
45,Red/Purple,802,805,1,1,,80214,Union Station - Metro Red & Purple Lines,1993,34.056197,-118.234249,UnionSta,6490713.20888,1842916.02729,POINT (-118.234249 34.056197)
46,Purple,805,0,15,0,,80215,Wilshire / Normandie Station,1996,34.061753,-118.301458,Wil/Norm,6470361.88286,1844992.20198,POINT (-118.301458 34.061753)
47,Purple,805,0,16,0,,80216,Wilshire / Western Station,1996,34.061689,-118.308756,Wil/Wstrn,6468151.41968,1844975.62066,POINT (-118.308756 34.061689)
48,Green,803,0,14,0,,80301,Redondo Beach Station,1995,33.89464,-118.369196,Rdndo Bch,6449622.28922,1784245.08965,POINT (-118.369196 33.89464)
49,Green,803,0,13,0,,80302,Douglas Station,1995,33.905299,-118.383113,Douglas,6445413.53365,1788139.92672,POINT (-118.383113 33.905299)
50,Green,803,0,12,0,,80303,El Segundo Station,1995,33.916063,-118.386539,El Sgndo,6444389.00535,1792061.14572,POINT (-118.386539 33.916063)
51,Green,803,0,11,0,,80304,Mariposa Station,1995,33.9232,-118.387572,Mariposa,6444085.60477,1794659.65012,POINT (-118.387572 33.9232)
52,Green,803,0,10,0,,80305,Aviation / LAX Station,1995,33.929621,-118.377134,Aviat/LAX,6447261.02317,1796984.33484,POINT (-118.377134 33.929621)
53,Green,803,0,9,0,,80306,Hawthorne / Lennox Station,1995,33.933408,-118.351602,Haw/Lenx,6455011.08182,1798334.42435,POINT (-118.351602 33.933408)
54,Green,803,0,8,0,,80307,Crenshaw Station,1995,33.925201,-118.32655,Crenshaw,6462600.66998,1795322.09342,POINT (-118.32655 33.925201)
55,Green,803,0,7,0,,80308,Vermont / Athens Station,1995,33.928683,-118.291733,Ver/Ath,6473166.80539,1796556.78122,POINT (-118.291733 33.928683)
56,Green,803,0,6,0,,80309,Harbor Freeway Station,1995,33.928714,-118.2811,Harbor,6476392.44571,1796558.87157,POINT (-118.2811 33.928714)
57,Green,803,0,5,0,,80310,Avalon Station,1995,33.927465,-118.265217,Avalon,6481209.48622,1796091.24015,POINT (-118.265217 33.927465)
58,Green,803,0,4,0,,80311,Willowbrook - Rosa Parks Station - Metro Green Line,1995,33.928258,-118.238052,Willwbrk,6489451.02524,1796359.19963,POINT (-118.238052 33.928258)
59,Green,803,0,3,0,,80312,Long Beach Blvd Station,1995,33.92488,-118.209945,LB Bl,6497975.00593,1795110.87075,POINT (-118.209945 33.92488)
60,Green,803,0,2,0,,80313,Lakewood Blvd Station,1995,33.91307,-118.1406,Lakewood,6519006.38306,1790776.26352,POINT (-118.1406 33.91307)
61,Green,803,0,1,0,,80314,Norwalk Station,1995,33.914033,-118.104717,Norwalk,6529894.21835,1791113.435,POINT (-118.104717 33.914033)
62,Gold,804,0,27,0,,80401,Atlantic Station,2009,34.033398,-118.154469,East LA,6514865.60435,1834572.30791,POINT (-118.154469 34.033398)
63,Gold,804,0,26,0,,80402,East LA Civic Center Station,2009,34.033364,-118.161206,ELACC,6512824.40801,1834563.13983,POINT (-118.161206 34.033364)
64,Gold,804,0,25,0,,80403,Maravilla Station,2009,34.033319,-118.16814,Mravilla,6510723.51643,1834550.20523,POINT (-118.16814 34.033319)
65,Gold,804,0,24,0,,80404,Indiana Station,2009,34.0343,-118.192182,Indiana,6503439.94886,1834920.26585,POINT (-118.192182 34.0343)
66,Gold,804,0,23,0,,80405,Soto Station,2009,34.043747,-118.210061,Soto,6498030.21603,1838369.047,POINT (-118.210061 34.043747)
67,Gold,804,0,22,0,,80406,Mariachi Plaza / Boyle Heights Station,2009,34.047215,-118.219648,Mariachi,6495128.66656,1839637.32474,POINT (-118.219648 34.047215)
68,Gold,804,0,21,0,,80407,Pico / Aliso Station,2009,34.047634,-118.22594,Pi/Aliso,6493222.97601,1839794.03136,POINT (-118.22594 34.047634)
69,Gold,804,0,20,0,,80408,Little Tokyo / Arts District Station,2009,34.0501,-118.237901,L Tokyo,6489601.77748,1840699.81449,POINT (-118.237901 34.0501)
70,Gold,804,0,19,0,,80409,Union Station - Metro Gold Line,2003,34.056061,-118.234759,UnionSta,6490558.616,1842866.89478,POINT (-118.234759 34.056061)
71,Gold,804,0,18,0,,80410,Chinatown Station,2003,34.063861,-118.23584,Chinatwn,6490237.84363,1845706.22443,POINT (-118.23584 34.063861)
72,Gold,804,0,17,0,,80411,Lincoln Heights / Cypress Park Station,2003,34.080949,-118.220429,Linc/Cyp,6494919.00021,1851914.26655,POINT (-118.220429 34.080949)
73,Gold,804,0,16,0,,80412,Heritage Square / Arroyo Station,2003,34.087227,-118.213213,Hrtge Sq,6497108.90565,1854194.23149,POINT (-118.213213 34.087227)
74,Gold,804,0,15,0,,80413,Southwest Museum Station,2003,34.098243,-118.206712,SW Mus,6499085.55436,1858199.04162,POINT (-118.206712 34.098243)
75,Gold,804,0,14,0,,80414,Highland Park Station,2003,34.111179,-118.192606,Highl Pk,6503365.09651,1862898.20291,POINT (-118.192606 34.111179)
76,Gold,804,0,13,0,,80415,South Pasadena Station,2003,34.115186,-118.157886,So Pas,6513877.07344,1864338.09991,POINT (-118.157886 34.115186)
77,Gold,804,0,12,0,,80416,Fillmore Station,2003,34.133521,-118.148126,Fillmore,6516841.10156,1871006.04176,POINT (-118.148126 34.133521)
78,Gold,804,0,11,0,,80417,Del Mar Station,2003,34.14191,-118.148214,Del Mar,6516818.97279,1874058.98912,POINT (-118.148214 34.14191)
79,Gold,804,0,10,0,,80418,Memorial Park Station,2003,34.148356,-118.147512,Mem Pk,6517034.83159,1876404.49173,POINT (-118.147512 34.148356)
