Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A18009_001,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,PCT_SE_A09005_002,PCT_SE_A09005_009,PCT_SE_A09005_010,PCT_SE_A09005_003,PCT_SE_A09005_004,PCT_SE_A09005_005,PCT_SE_A09005_006,PCT_SE_A09005_007,PCT_SE_A09005_008
"06037300702","14000US06037300702","Census Tract 3007.02","Census Tract 3007.02, Los Angeles County, California","ca","140","00","ACSSF","0004865",,,,,"06","037",,,,"300702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2514,2312,2104,1836,268,65,16,0,0,29,98,91,79.41,11.59,2.81,0.69,0,0,1.25,4.24
"06037300800","14000US06037300800","Census Tract 3008","Census Tract 3008, Los Angeles County, California","ca","140","00","ACSSF","0004866",,,,,"06","037",,,,"300800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1807,3521,3158,2892,266,133,0,0,26,11,193,89.69,82.14,7.55,3.78,0,0,0.74,0.31,5.48
"06037300901","14000US06037300901","Census Tract 3009.01","Census Tract 3009.01, Los Angeles County, California","ca","140","00","ACSSF","0004867",,,,,"06","037",,,,"300901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120,2575,2358,2160,198,0,0,0,25,0,192,91.57,83.88,7.69,0,0,0,0.97,0,7.46
"06037300902","14000US06037300902","Census Tract 3009.02","Census Tract 3009.02, Los Angeles County, California","ca","140","00","ACSSF","0004868",,,,,"06","037",,,,"300902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2885,932,833,807,26,22,0,0,4,14,59,89.38,86.59,2.79,2.36,0,0,0.43,1.5,6.33
"06037301000","14000US06037301000","Census Tract 3010","Census Tract 3010, Los Angeles County, California","ca","140","00","ACSSF","0004869",,,,,"06","037",,,,"301000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588,2361,1864,1775,89,86,0,29,88,18,276,78.95,75.18,3.77,3.64,0,1.23,3.73,0.76,11.69
"06037301100","14000US06037301100","Census Tract 3011","Census Tract 3011, Los Angeles County, California","ca","140","00","ACSSF","0004870",,,,,"06","037",,,,"301100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676,3563,3055,2842,213,73,0,0,79,0,356,85.74,79.76,5.98,2.05,0,0,2.22,0,9.99
"06037301203","14000US06037301203","Census Tract 3012.03","Census Tract 3012.03, Los Angeles County, California","ca","140","00","ACSSF","0004871",,,,,"06","037",,,,"301203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1801,2161,1909,1720,189,74,0,17,13,14,134,88.34,79.59,8.75,3.42,0,0.79,0.6,0.65,6.2
"06037301204","14000US06037301204","Census Tract 3012.04","Census Tract 3012.04, Los Angeles County, California","ca","140","00","ACSSF","0004872",,,,,"06","037",,,,"301204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661,3053,2603,2459,144,79,0,0,171,59,141,85.26,80.54,4.72,2.59,0,0,5.6,1.93,4.62
"06037301205","14000US06037301205","Census Tract 3012.05","Census Tract 3012.05, Los Angeles County, California","ca","140","00","ACSSF","0004873",,,,,"06","037",,,,"301205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706,1002,791,711,80,40,0,0,46,0,125,78.94,70.96,7.98,3.99,0,0,4.59,0,12.48
"06037301206","14000US06037301206","Census Tract 3012.06","Census Tract 3012.06, Los Angeles County, California","ca","140","00","ACSSF","0004874",,,,,"06","037",,,,"301206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646,2048,1669,1497,172,123,0,18,47,23,168,81.49,73.1,8.4,6.01,0,0.88,2.29,1.12,8.2
"06037301300","14000US06037301300","Census Tract 3013","Census Tract 3013, Los Angeles County, California","ca","140","00","ACSSF","0004875",,,,,"06","037",,,,"301300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908,866,759,731,28,12,0,14,0,6,75,87.64,84.41,3.23,1.39,0,1.62,0,0.69,8.66
"06037301400","14000US06037301400","Census Tract 3014","Census Tract 3014, Los Angeles County, California","ca","140","00","ACSSF","0004876",,,,,"06","037",,,,"301400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116,1929,1685,1467,218,0,9,0,22,52,161,87.35,76.05,11.3,0,0.47,0,1.14,2.7,8.35
